Sample Text,Number,Area,Compound
Sample_8327,167,764569,Levofloxacind8
Sample_9287,168,950627,Levofloxacind8
Sample_13287,169,585105,Levofloxacind8
Sample_1138,170,336802,Levofloxacind8
Sample_15137,171,643135,Levofloxacind8
Sample_1141,172,196278,Levofloxacind8
Sample_8307,173,537830,Levofloxacind8
Sample_11161,174,657786,Levofloxacind8
Sample_9249,175,947828,Levofloxacind8
Sample_12295,176,799081,Levofloxacind8
Sample_5547,177,836214,Levofloxacind8
Sample_9085,178,834224,Levofloxacind8
Sample_13309,179,587076,Levofloxacind8
Sample_4154,180,581960,Levofloxacind8
Sample_6492,181,402584,Levofloxacind8
Sample_1036,182,477422,Levofloxacind8
